gs_name	gene
Inflammation signature (top100)	ENSG00000115956
Inflammation signature (top100)	ENSG00000026751
Inflammation signature (top100)	ENSG00000254087
Inflammation signature (top100)	ENSG00000154451
Inflammation signature (top100)	ENSG00000160255
Inflammation signature (top100)	ENSG00000143119
Inflammation signature (top100)	ENSG00000081237
Inflammation signature (top100)	ENSG00000110324
Inflammation signature (top100)	ENSG00000090382
Inflammation signature (top100)	ENSG00000180353
Inflammation signature (top100)	ENSG00000116824
Inflammation signature (top100)	ENSG00000078081
Inflammation signature (top100)	ENSG00000123338
Inflammation signature (top100)	ENSG00000185811
Inflammation signature (top100)	ENSG00000142347
Inflammation signature (top100)	ENSG00000162511
Inflammation signature (top100)	ENSG00000169403
Inflammation signature (top100)	ENSG00000136167
Inflammation signature (top100)	ENSG00000173193
Inflammation signature (top100)	ENSG00000140030
Inflammation signature (top100)	ENSG00000025708
Inflammation signature (top100)	ENSG00000116701
Inflammation signature (top100)	ENSG00000104951
Inflammation signature (top100)	ENSG00000043462
Inflammation signature (top100)	ENSG00000167207
Inflammation signature (top100)	ENSG00000060558
Inflammation signature (top100)	ENSG00000140511
Inflammation signature (top100)	ENSG00000102265
Inflammation signature (top100)	ENSG00000172243
Inflammation signature (top100)	ENSG00000160791
Inflammation signature (top100)	ENSG00000101347
Inflammation signature (top100)	ENSG00000000938
Inflammation signature (top100)	ENSG00000172183
Inflammation signature (top100)	ENSG00000149781
Inflammation signature (top100)	ENSG00000140678
Inflammation signature (top100)	ENSG00000117228
Inflammation signature (top100)	ENSG00000158869
Inflammation signature (top100)	ENSG00000163565
Inflammation signature (top100)	ENSG00000090339
Inflammation signature (top100)	ENSG00000100368
Inflammation signature (top100)	ENSG00000137462
Inflammation signature (top100)	ENSG00000167208
Inflammation signature (top100)	ENSG00000163840
Inflammation signature (top100)	ENSG00000182866
Inflammation signature (top100)	ENSG00000125347
Inflammation signature (top100)	ENSG00000186517
Inflammation signature (top100)	ENSG00000105639
Inflammation signature (top100)	ENSG00000159403
Inflammation signature (top100)	ENSG00000142089
Inflammation signature (top100)	ENSG00000138964
Inflammation signature (top100)	ENSG00000179583
Inflammation signature (top100)	ENSG00000100055
Inflammation signature (top100)	ENSG00000155926
Inflammation signature (top100)	ENSG00000162493
Inflammation signature (top100)	ENSG00000136286
Inflammation signature (top100)	ENSG00000117091
Inflammation signature (top100)	ENSG00000145623
Inflammation signature (top100)	ENSG00000163739
Inflammation signature (top100)	ENSG00000138496
Inflammation signature (top100)	ENSG00000085265
Inflammation signature (top100)	ENSG00000158714
Inflammation signature (top100)	ENSG00000164691
Inflammation signature (top100)	ENSG00000028137
Inflammation signature (top100)	ENSG00000172578
Inflammation signature (top100)	ENSG00000110876
Inflammation signature (top100)	ENSG00000185862
Inflammation signature (top100)	ENSG00000168685
Inflammation signature (top100)	ENSG00000155307
Inflammation signature (top100)	ENSG00000188404
Inflammation signature (top100)	ENSG00000168461
Inflammation signature (top100)	ENSG00000100453
Inflammation signature (top100)	ENSG00000140749
Inflammation signature (top100)	ENSG00000130775
Inflammation signature (top100)	ENSG00000019582
Inflammation signature (top100)	ENSG00000126353
Inflammation signature (top100)	ENSG00000141968
Inflammation signature (top100)	ENSG00000141506
Inflammation signature (top100)	ENSG00000160593
Inflammation signature (top100)	ENSG00000128815
Inflammation signature (top100)	ENSG00000134516
Inflammation signature (top100)	ENSG00000130429
Inflammation signature (top100)	ENSG00000128335
Inflammation signature (top100)	ENSG00000135899
Inflammation signature (top100)	ENSG00000101224
Inflammation signature (top100)	ENSG00000128284
Inflammation signature (top100)	ENSG00000162645
Inflammation signature (top100)	ENSG00000143110
Inflammation signature (top100)	ENSG00000161405
Inflammation signature (top100)	ENSG00000187474
Inflammation signature (top100)	ENSG00000147443
Inflammation signature (top100)	ENSG00000101336
Inflammation signature (top100)	ENSG00000102879
Inflammation signature (top100)	ENSG00000163600
Inflammation signature (top100)	ENSG00000117090
Inflammation signature (top100)	ENSG00000132274
Inflammation signature (top100)	ENSG00000111335
Inflammation signature (top100)	ENSG00000169245
Inflammation signature (top100)	ENSG00000186818
Inflammation signature (top100)	ENSG00000102524
Inflammation signature (top100)	ENSG00000077984
MSigDB hallmark inflammatory response	ENSG00000165029
MSigDB hallmark inflammatory response	ENSG00000136754
MSigDB hallmark inflammatory response	ENSG00000135503
MSigDB hallmark inflammatory response	ENSG00000121989
MSigDB hallmark inflammatory response	ENSG00000174837
MSigDB hallmark inflammatory response	ENSG00000148926
MSigDB hallmark inflammatory response	ENSG00000170425
MSigDB hallmark inflammatory response	ENSG00000130706
MSigDB hallmark inflammatory response	ENSG00000106546
MSigDB hallmark inflammatory response	ENSG00000134817
MSigDB hallmark inflammatory response	ENSG00000103569
MSigDB hallmark inflammatory response	ENSG00000174437
MSigDB hallmark inflammatory response	ENSG00000070961
MSigDB hallmark inflammatory response	ENSG00000017260
