gs_name	gene
Inflammation signature (top100)	23780
Inflammation signature (top100)	80833
Inflammation signature (top100)	257106
Inflammation signature (top100)	10095
Inflammation signature (top100)	128346
Inflammation signature (top100)	715
Inflammation signature (top100)	1234
Inflammation signature (top100)	1236
Inflammation signature (top100)	914
Inflammation signature (top100)	962
Inflammation signature (top100)	963
Inflammation signature (top100)	972
Inflammation signature (top100)	994
Inflammation signature (top100)	4261
Inflammation signature (top100)	64581
Inflammation signature (top100)	11151
Inflammation signature (top100)	1439
Inflammation signature (top100)	8530
Inflammation signature (top100)	2919
Inflammation signature (top100)	3627
Inflammation signature (top100)	27128
Inflammation signature (top100)	1794
Inflammation signature (top100)	9046
Inflammation signature (top100)	151636
Inflammation signature (top100)	2124
Inflammation signature (top100)	2207
Inflammation signature (top100)	2219
Inflammation signature (top100)	83706
Inflammation signature (top100)	2268
Inflammation signature (top100)	2359
Inflammation signature (top100)	2633
Inflammation signature (top100)	2634
Inflammation signature (top100)	115362
Inflammation signature (top100)	2769
Inflammation signature (top100)	8477
Inflammation signature (top100)	3002
Inflammation signature (top100)	145864
Inflammation signature (top100)	3055
Inflammation signature (top100)	3059
Inflammation signature (top100)	3383
Inflammation signature (top100)	29851
Inflammation signature (top100)	3428
Inflammation signature (top100)	10410
Inflammation signature (top100)	10261
Inflammation signature (top100)	10320
Inflammation signature (top100)	22806
Inflammation signature (top100)	3587
Inflammation signature (top100)	259307
Inflammation signature (top100)	3575
Inflammation signature (top100)	3659
Inflammation signature (top100)	3669
Inflammation signature (top100)	3687
Inflammation signature (top100)	3689
Inflammation signature (top100)	3718
Inflammation signature (top100)	120425
Inflammation signature (top100)	89857
Inflammation signature (top100)	27074
Inflammation signature (top100)	7805
Inflammation signature (top100)	3932
Inflammation signature (top100)	3936
Inflammation signature (top100)	3937
Inflammation signature (top100)	11006
Inflammation signature (top100)	4067
Inflammation signature (top100)	4069
Inflammation signature (top100)	4542
Inflammation signature (top100)	64005
Inflammation signature (top100)	4688
Inflammation signature (top100)	3071
Inflammation signature (top100)	64127
Inflammation signature (top100)	4939
Inflammation signature (top100)	9180
Inflammation signature (top100)	54625
Inflammation signature (top100)	83666
Inflammation signature (top100)	64098
Inflammation signature (top100)	10630
Inflammation signature (top100)	23533
Inflammation signature (top100)	5341
Inflammation signature (top100)	5724
Inflammation signature (top100)	5788
Inflammation signature (top100)	11031
Inflammation signature (top100)	25939
Inflammation signature (top100)	64092
Inflammation signature (top100)	6402
Inflammation signature (top100)	6404
Inflammation signature (top100)	6503
Inflammation signature (top100)	6504
Inflammation signature (top100)	57823
Inflammation signature (top100)	56833
Inflammation signature (top100)	124460
Inflammation signature (top100)	3431
Inflammation signature (top100)	117289
Inflammation signature (top100)	9473
Inflammation signature (top100)	7076
Inflammation signature (top100)	7097
Inflammation signature (top100)	7133
Inflammation signature (top100)	10673
Inflammation signature (top100)	10346
Inflammation signature (top100)	1890
Inflammation signature (top100)	7409
Inflammation signature (top100)	57705
MSigDB hallmark inflammatory response	19
MSigDB hallmark inflammatory response	10006
MSigDB hallmark inflammatory response	91
MSigDB hallmark inflammatory response	92
MSigDB hallmark inflammatory response	2015
MSigDB hallmark inflammatory response	133
MSigDB hallmark inflammatory response	136
MSigDB hallmark inflammatory response	11047
MSigDB hallmark inflammatory response	196
MSigDB hallmark inflammatory response	187
MSigDB hallmark inflammatory response	366
MSigDB hallmark inflammatory response	488
MSigDB hallmark inflammatory response	490
MSigDB hallmark inflammatory response	27032
MSigDB hallmark inflammatory response	558
MSigDB hallmark inflammatory response	623
MSigDB hallmark inflammatory response	7439
MSigDB hallmark inflammatory response	684
MSigDB hallmark inflammatory response	7832
MSigDB hallmark inflammatory response	719
MSigDB hallmark inflammatory response	728
MSigDB hallmark inflammatory response	10203
MSigDB hallmark inflammatory response	6361
MSigDB hallmark inflammatory response	6347
MSigDB hallmark inflammatory response	6364
MSigDB hallmark inflammatory response	6367
MSigDB hallmark inflammatory response	6369
MSigDB hallmark inflammatory response	6352
MSigDB hallmark inflammatory response	6352
MSigDB hallmark inflammatory response	6354
MSigDB hallmark inflammatory response	1236
MSigDB hallmark inflammatory response	9034
MSigDB hallmark inflammatory response	929
MSigDB hallmark inflammatory response	958
MSigDB hallmark inflammatory response	962
MSigDB hallmark inflammatory response	1604
MSigDB hallmark inflammatory response	969
MSigDB hallmark inflammatory response	970
MSigDB hallmark inflammatory response	3732
MSigDB hallmark inflammatory response	1026
MSigDB hallmark inflammatory response	9435
MSigDB hallmark inflammatory response	23601
MSigDB hallmark inflammatory response	1240
MSigDB hallmark inflammatory response	1435
MSigDB hallmark inflammatory response	1440
MSigDB hallmark inflammatory response	1441
MSigDB hallmark inflammatory response	6376
MSigDB hallmark inflammatory response	3627
MSigDB hallmark inflammatory response	6373
MSigDB hallmark inflammatory response	6372
MSigDB hallmark inflammatory response	3576
MSigDB hallmark inflammatory response	4283
MSigDB hallmark inflammatory response	10663
MSigDB hallmark inflammatory response	1536
MSigDB hallmark inflammatory response	131566
MSigDB hallmark inflammatory response	10148
MSigDB hallmark inflammatory response	1906
MSigDB hallmark inflammatory response	5610
MSigDB hallmark inflammatory response	2014
MSigDB hallmark inflammatory response	2069
MSigDB hallmark inflammatory response	2152
MSigDB hallmark inflammatory response	2867
MSigDB hallmark inflammatory response	2357
MSigDB hallmark inflammatory response	7855
MSigDB hallmark inflammatory response	2550
MSigDB hallmark inflammatory response	2550
MSigDB hallmark inflammatory response	2550
MSigDB hallmark inflammatory response	2550
MSigDB hallmark inflammatory response	2550
MSigDB hallmark inflammatory response	2550
MSigDB hallmark inflammatory response	2550
MSigDB hallmark inflammatory response	2643
MSigDB hallmark inflammatory response	2769
MSigDB hallmark inflammatory response	2773
MSigDB hallmark inflammatory response	2811
MSigDB hallmark inflammatory response	2719
MSigDB hallmark inflammatory response	29933
MSigDB hallmark inflammatory response	1880
MSigDB hallmark inflammatory response	3037
MSigDB hallmark inflammatory response	1839
MSigDB hallmark inflammatory response	3091
MSigDB hallmark inflammatory response	3249
MSigDB hallmark inflammatory response	3269
MSigDB hallmark inflammatory response	3383
MSigDB hallmark inflammatory response	3386
MSigDB hallmark inflammatory response	23308
MSigDB hallmark inflammatory response	8519
MSigDB hallmark inflammatory response	3454
MSigDB hallmark inflammatory response	3460
MSigDB hallmark inflammatory response	3460
MSigDB hallmark inflammatory response	3586
MSigDB hallmark inflammatory response	3587
MSigDB hallmark inflammatory response	3593
MSigDB hallmark inflammatory response	3600
MSigDB hallmark inflammatory response	3601
MSigDB hallmark inflammatory response	3606
MSigDB hallmark inflammatory response	8809
MSigDB hallmark inflammatory response	8807
MSigDB hallmark inflammatory response	3552
MSigDB hallmark inflammatory response	3553
MSigDB hallmark inflammatory response	3554
MSigDB hallmark inflammatory response	3560
MSigDB hallmark inflammatory response	3566
MSigDB hallmark inflammatory response	3569
MSigDB hallmark inflammatory response	3575
MSigDB hallmark inflammatory response	3624
MSigDB hallmark inflammatory response	3656
MSigDB hallmark inflammatory response	3659
MSigDB hallmark inflammatory response	3665
MSigDB hallmark inflammatory response	3665
MSigDB hallmark inflammatory response	3678
MSigDB hallmark inflammatory response	3690
MSigDB hallmark inflammatory response	3696
MSigDB hallmark inflammatory response	3738
MSigDB hallmark inflammatory response	3759
MSigDB hallmark inflammatory response	10242
MSigDB hallmark inflammatory response	23095
MSigDB hallmark inflammatory response	1316
MSigDB hallmark inflammatory response	27074
MSigDB hallmark inflammatory response	3932
MSigDB hallmark inflammatory response	3937
MSigDB hallmark inflammatory response	3949
MSigDB hallmark inflammatory response	3976
MSigDB hallmark inflammatory response	1902
MSigDB hallmark inflammatory response	4049
MSigDB hallmark inflammatory response	4049
MSigDB hallmark inflammatory response	4049
MSigDB hallmark inflammatory response	4049
MSigDB hallmark inflammatory response	4049
MSigDB hallmark inflammatory response	4049
MSigDB hallmark inflammatory response	4049
MSigDB hallmark inflammatory response	4061
MSigDB hallmark inflammatory response	4061
MSigDB hallmark inflammatory response	4067
MSigDB hallmark inflammatory response	8685
MSigDB hallmark inflammatory response	4210
MSigDB hallmark inflammatory response	4224
MSigDB hallmark inflammatory response	4233
MSigDB hallmark inflammatory response	4323
MSigDB hallmark inflammatory response	4481
MSigDB hallmark inflammatory response	4084
MSigDB hallmark inflammatory response	4609
MSigDB hallmark inflammatory response	10135
MSigDB hallmark inflammatory response	4693
MSigDB hallmark inflammatory response	4790
MSigDB hallmark inflammatory response	4792
MSigDB hallmark inflammatory response	114548
MSigDB hallmark inflammatory response	9111
MSigDB hallmark inflammatory response	10316
MSigDB hallmark inflammatory response	64127
MSigDB hallmark inflammatory response	10886
MSigDB hallmark inflammatory response	4973
MSigDB hallmark inflammatory response	4986
MSigDB hallmark inflammatory response	5008
MSigDB hallmark inflammatory response	9180
MSigDB hallmark inflammatory response	5025
MSigDB hallmark inflammatory response	5027
MSigDB hallmark inflammatory response	5029
MSigDB hallmark inflammatory response	5099
MSigDB hallmark inflammatory response	5142
MSigDB hallmark inflammatory response	10630
MSigDB hallmark inflammatory response	23533
MSigDB hallmark inflammatory response	5329
MSigDB hallmark inflammatory response	60675
MSigDB hallmark inflammatory response	5663
MSigDB hallmark inflammatory response	5724
MSigDB hallmark inflammatory response	5732
MSigDB hallmark inflammatory response	5734
MSigDB hallmark inflammatory response	5739
MSigDB hallmark inflammatory response	5791
MSigDB hallmark inflammatory response	5817
MSigDB hallmark inflammatory response	5894
MSigDB hallmark inflammatory response	10125
MSigDB hallmark inflammatory response	5970
MSigDB hallmark inflammatory response	5996
MSigDB hallmark inflammatory response	6004
MSigDB hallmark inflammatory response	391
MSigDB hallmark inflammatory response	8767
MSigDB hallmark inflammatory response	255488
MSigDB hallmark inflammatory response	6098
MSigDB hallmark inflammatory response	64108
MSigDB hallmark inflammatory response	8578
MSigDB hallmark inflammatory response	8578
MSigDB hallmark inflammatory response	6324
MSigDB hallmark inflammatory response	6401
MSigDB hallmark inflammatory response	55829
MSigDB hallmark inflammatory response	6402
MSigDB hallmark inflammatory response	10507
MSigDB hallmark inflammatory response	5054
MSigDB hallmark inflammatory response	166929
MSigDB hallmark inflammatory response	6504
MSigDB hallmark inflammatory response	4891
MSigDB hallmark inflammatory response	6506
MSigDB hallmark inflammatory response	9153
MSigDB hallmark inflammatory response	1317
MSigDB hallmark inflammatory response	1318
MSigDB hallmark inflammatory response	8671
MSigDB hallmark inflammatory response	6541
MSigDB hallmark inflammatory response	6542
MSigDB hallmark inflammatory response	8877
MSigDB hallmark inflammatory response	6717
MSigDB hallmark inflammatory response	23166
MSigDB hallmark inflammatory response	6869
MSigDB hallmark inflammatory response	6870
MSigDB hallmark inflammatory response	6892
MSigDB hallmark inflammatory response	6892
MSigDB hallmark inflammatory response	6892
MSigDB hallmark inflammatory response	6892
MSigDB hallmark inflammatory response	6892
MSigDB hallmark inflammatory response	7076
MSigDB hallmark inflammatory response	7096
MSigDB hallmark inflammatory response	7097
MSigDB hallmark inflammatory response	7098
MSigDB hallmark inflammatory response	7130
MSigDB hallmark inflammatory response	7133
MSigDB hallmark inflammatory response	3604
MSigDB hallmark inflammatory response	8743
MSigDB hallmark inflammatory response	9966
MSigDB hallmark inflammatory response	8744
MSigDB hallmark inflammatory response	7162
MSigDB hallmark inflammatory response	7162
MSigDB hallmark inflammatory response	7432
GOBP_ACUTE_INFLAMMATORY_RESPONSE	2
GOBP_ACUTE_INFLAMMATORY_RESPONSE	90
GOBP_ACUTE_INFLAMMATORY_RESPONSE	101
GOBP_ACUTE_INFLAMMATORY_RESPONSE	134
GOBP_ACUTE_INFLAMMATORY_RESPONSE	150
GOBP_ACUTE_INFLAMMATORY_RESPONSE	197
GOBP_ACUTE_INFLAMMATORY_RESPONSE	241
GOBP_ACUTE_INFLAMMATORY_RESPONSE	196527
GOBP_ACUTE_INFLAMMATORY_RESPONSE	325
GOBP_ACUTE_INFLAMMATORY_RESPONSE	336
GOBP_ACUTE_INFLAMMATORY_RESPONSE	23780
GOBP_ACUTE_INFLAMMATORY_RESPONSE	55870
GOBP_ACUTE_INFLAMMATORY_RESPONSE	445
GOBP_ACUTE_INFLAMMATORY_RESPONSE	2683
GOBP_ACUTE_INFLAMMATORY_RESPONSE	695
GOBP_ACUTE_INFLAMMATORY_RESPONSE	145741
GOBP_ACUTE_INFLAMMATORY_RESPONSE	388125
GOBP_ACUTE_INFLAMMATORY_RESPONSE	718
GOBP_ACUTE_INFLAMMATORY_RESPONSE	1236
GOBP_ACUTE_INFLAMMATORY_RESPONSE	9332
GOBP_ACUTE_INFLAMMATORY_RESPONSE	923
GOBP_ACUTE_INFLAMMATORY_RESPONSE	1051
GOBP_ACUTE_INFLAMMATORY_RESPONSE	1268
GOBP_ACUTE_INFLAMMATORY_RESPONSE	84699
GOBP_ACUTE_INFLAMMATORY_RESPONSE	1401
GOBP_ACUTE_INFLAMMATORY_RESPONSE	56998
GOBP_ACUTE_INFLAMMATORY_RESPONSE	1773
GOBP_ACUTE_INFLAMMATORY_RESPONSE	1776
GOBP_ACUTE_INFLAMMATORY_RESPONSE	1910
GOBP_ACUTE_INFLAMMATORY_RESPONSE	27102
GOBP_ACUTE_INFLAMMATORY_RESPONSE	1991
GOBP_ACUTE_INFLAMMATORY_RESPONSE	1991
GOBP_ACUTE_INFLAMMATORY_RESPONSE	2056
GOBP_ACUTE_INFLAMMATORY_RESPONSE	2131
GOBP_ACUTE_INFLAMMATORY_RESPONSE	2161
GOBP_ACUTE_INFLAMMATORY_RESPONSE	2147
GOBP_ACUTE_INFLAMMATORY_RESPONSE	2152
GOBP_ACUTE_INFLAMMATORY_RESPONSE	2157
GOBP_ACUTE_INFLAMMATORY_RESPONSE	2209
GOBP_ACUTE_INFLAMMATORY_RESPONSE	2213
GOBP_ACUTE_INFLAMMATORY_RESPONSE	2214
GOBP_ACUTE_INFLAMMATORY_RESPONSE	2867
GOBP_ACUTE_INFLAMMATORY_RESPONSE	2865
GOBP_ACUTE_INFLAMMATORY_RESPONSE	2335
GOBP_ACUTE_INFLAMMATORY_RESPONSE	2529
GOBP_ACUTE_INFLAMMATORY_RESPONSE	2625
GOBP_ACUTE_INFLAMMATORY_RESPONSE	2950
GOBP_ACUTE_INFLAMMATORY_RESPONSE	57817
GOBP_ACUTE_INFLAMMATORY_RESPONSE	3133
GOBP_ACUTE_INFLAMMATORY_RESPONSE	3133
GOBP_ACUTE_INFLAMMATORY_RESPONSE	3133
GOBP_ACUTE_INFLAMMATORY_RESPONSE	3133
GOBP_ACUTE_INFLAMMATORY_RESPONSE	3133
GOBP_ACUTE_INFLAMMATORY_RESPONSE	3133
GOBP_ACUTE_INFLAMMATORY_RESPONSE	3133
GOBP_ACUTE_INFLAMMATORY_RESPONSE	3240
GOBP_ACUTE_INFLAMMATORY_RESPONSE	3250
GOBP_ACUTE_INFLAMMATORY_RESPONSE	3500
GOBP_ACUTE_INFLAMMATORY_RESPONSE	3500
GOBP_ACUTE_INFLAMMATORY_RESPONSE	3552
GOBP_ACUTE_INFLAMMATORY_RESPONSE	3553
GOBP_ACUTE_INFLAMMATORY_RESPONSE	53833
GOBP_ACUTE_INFLAMMATORY_RESPONSE	50616
GOBP_ACUTE_INFLAMMATORY_RESPONSE	133396
GOBP_ACUTE_INFLAMMATORY_RESPONSE	3565
GOBP_ACUTE_INFLAMMATORY_RESPONSE	3569
GOBP_ACUTE_INFLAMMATORY_RESPONSE	3570
GOBP_ACUTE_INFLAMMATORY_RESPONSE	3572
GOBP_ACUTE_INFLAMMATORY_RESPONSE	3630
GOBP_ACUTE_INFLAMMATORY_RESPONSE	3700
GOBP_ACUTE_INFLAMMATORY_RESPONSE	9365
GOBP_ACUTE_INFLAMMATORY_RESPONSE	3818
GOBP_ACUTE_INFLAMMATORY_RESPONSE	3929
GOBP_ACUTE_INFLAMMATORY_RESPONSE	4153
GOBP_ACUTE_INFLAMMATORY_RESPONSE	407048
GOBP_ACUTE_INFLAMMATORY_RESPONSE	259249
GOBP_ACUTE_INFLAMMATORY_RESPONSE	91807
GOBP_ACUTE_INFLAMMATORY_RESPONSE	114548
GOBP_ACUTE_INFLAMMATORY_RESPONSE	171389
GOBP_ACUTE_INFLAMMATORY_RESPONSE	4852
GOBP_ACUTE_INFLAMMATORY_RESPONSE	4889
GOBP_ACUTE_INFLAMMATORY_RESPONSE	26471
GOBP_ACUTE_INFLAMMATORY_RESPONSE	4968
GOBP_ACUTE_INFLAMMATORY_RESPONSE	4988
GOBP_ACUTE_INFLAMMATORY_RESPONSE	5004
GOBP_ACUTE_INFLAMMATORY_RESPONSE	5005
GOBP_ACUTE_INFLAMMATORY_RESPONSE	5008
GOBP_ACUTE_INFLAMMATORY_RESPONSE	9180
GOBP_ACUTE_INFLAMMATORY_RESPONSE	11315
GOBP_ACUTE_INFLAMMATORY_RESPONSE	5294
GOBP_ACUTE_INFLAMMATORY_RESPONSE	26279
GOBP_ACUTE_INFLAMMATORY_RESPONSE	5359
GOBP_ACUTE_INFLAMMATORY_RESPONSE	5547
GOBP_ACUTE_INFLAMMATORY_RESPONSE	5733
GOBP_ACUTE_INFLAMMATORY_RESPONSE	9536
GOBP_ACUTE_INFLAMMATORY_RESPONSE	5743
GOBP_ACUTE_INFLAMMATORY_RESPONSE	5068
GOBP_ACUTE_INFLAMMATORY_RESPONSE	130120
GOBP_ACUTE_INFLAMMATORY_RESPONSE	25807
GOBP_ACUTE_INFLAMMATORY_RESPONSE	6279
GOBP_ACUTE_INFLAMMATORY_RESPONSE	6288
GOBP_ACUTE_INFLAMMATORY_RESPONSE	6288
GOBP_ACUTE_INFLAMMATORY_RESPONSE	6289
GOBP_ACUTE_INFLAMMATORY_RESPONSE	6291
GOBP_ACUTE_INFLAMMATORY_RESPONSE	55829
GOBP_ACUTE_INFLAMMATORY_RESPONSE	5265
GOBP_ACUTE_INFLAMMATORY_RESPONSE	5265
GOBP_ACUTE_INFLAMMATORY_RESPONSE	12
GOBP_ACUTE_INFLAMMATORY_RESPONSE	5345
GOBP_ACUTE_INFLAMMATORY_RESPONSE	5345
GOBP_ACUTE_INFLAMMATORY_RESPONSE	59307
GOBP_ACUTE_INFLAMMATORY_RESPONSE	6869
GOBP_ACUTE_INFLAMMATORY_RESPONSE	7036
GOBP_ACUTE_INFLAMMATORY_RESPONSE	7037
GOBP_ACUTE_INFLAMMATORY_RESPONSE	7124
GOBP_ACUTE_INFLAMMATORY_RESPONSE	7124
GOBP_ACUTE_INFLAMMATORY_RESPONSE	7124
GOBP_ACUTE_INFLAMMATORY_RESPONSE	7124
GOBP_ACUTE_INFLAMMATORY_RESPONSE	7124
GOBP_ACUTE_INFLAMMATORY_RESPONSE	7124
GOBP_ACUTE_INFLAMMATORY_RESPONSE	7124
GOBP_ACUTE_INFLAMMATORY_RESPONSE	7124
GOBP_ACUTE_INFLAMMATORY_RESPONSE	8792
GOBP_ACUTE_INFLAMMATORY_RESPONSE	8600
GOBP_ACUTE_INFLAMMATORY_RESPONSE	7292
GOBP_ACUTE_INFLAMMATORY_RESPONSE	54210
GOBP_ACUTE_INFLAMMATORY_RESPONSE	7442
GOBP_ACUTE_INFLAMMATORY_RESPONSE	54658
GOBP_ACUTE_INFLAMMATORY_RESPONSE	7412
GOBP_ACUTE_INFLAMMATORY_RESPONSE	8876
GOBP_ACUTE_INFLAMMATORY_RESPONSE	7784
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	136
GOBP_CHRONIC_INFLAMMATORY_RESPONSE	6352
