Position	ENSG.ID	Gene.type	Gene.name	Chromosome	ENSP.ID	stat	enr
1	ENSG00000115956	protein_coding	PLEK	2	ENSP00000234313	19977	0
2	ENSG00000026751	protein_coding	SLAMF7	1	ENSP00000357022	19976	0
3	ENSG00000254087	protein_coding	LYN	8	ENSP00000428924	19975	1
4	ENSG00000154451	protein_coding	GBP5	1	ENSP00000359488	19974	1
5	ENSG00000160255	protein_coding	ITGB2	21	ENSP00000380948	19973	1
6	ENSG00000143119	protein_coding	CD53	1	ENSP00000271324	19972	1
7	ENSG00000081237	protein_coding	PTPRC	1	ENSP00000411355	19971	2
8	ENSG00000110324	protein_coding	IL10RA	11	ENSP00000227752	19970	3
9	ENSG00000090382	protein_coding	LYZ	12	ENSP00000261267	19969	3
10	ENSG00000180353	protein_coding	HCLS1	3	ENSP00000320176	19968	3
11	ENSG00000116824	protein_coding	CD2	1	ENSP00000358490	19967	3
12	ENSG00000078081	protein_coding	LAMP3	3	ENSP00000265598	19966	4
13	ENSG00000123338	protein_coding	NCKAP1L	12	ENSP00000293373	19965	4
14	ENSG00000185811	protein_coding	IKZF1	7	ENSP00000331614	19964	4
15	ENSG00000142347	protein_coding	MYO1F	19	ENSP00000344871	19963	4
16	ENSG00000162511	protein_coding	LAPTM5	1	ENSP00000294507	19962	4
17	ENSG00000169403	protein_coding	PTAFR	1	ENSP00000362965	19961	5
18	ENSG00000136167	protein_coding	LCP1	13	ENSP00000381581	19960	5
19	ENSG00000173193	protein_coding	PARP14	3	ENSP00000418194	19959	5
20	ENSG00000140030	protein_coding	GPR65	14	ENSP00000267549	19958	5
21	ENSG00000025708	protein_coding	TYMP	22	ENSP00000379038	19957	5
22	ENSG00000116701	protein_coding	NCF2	1	ENSP00000356505	19956	5
23	ENSG00000104951	protein_coding	IL4I1	19	ENSP00000472474	19955	5
24	ENSG00000043462	protein_coding	LCP2	5	ENSP00000046794	19954	6
25	ENSG00000167207	protein_coding	NOD2	16	ENSP00000300589	19953	7
26	ENSG00000060558	protein_coding	GNA15	19	ENSP00000262958	19952	8
27	ENSG00000140511	protein_coding	HAPLN3	15	ENSP00000352606	19951	8
28	ENSG00000102265	protein_coding	TIMP1	X	ENSP00000218388	19950	9
29	ENSG00000172243	protein_coding	CLEC7A	12	ENSP00000302569	19949	9
30	ENSG00000160791	protein_coding	CCR5	3	ENSP00000292303	19948	9
31	ENSG00000101347	protein_coding	SAMHD1	20	ENSP00000262878	19947	9
32	ENSG00000000938	protein_coding	FGR	1	ENSP00000363117	19946	9
33	ENSG00000172183	protein_coding	ISG20	15	ENSP00000306565	19945	9
34	ENSG00000149781	protein_coding	FERMT3	11	ENSP00000279227	19944	9
35	ENSG00000140678	protein_coding	ITGAX	16	ENSP00000454623	19943	9
36	ENSG00000117228	protein_coding	GBP1	1	ENSP00000359504	19942	9
37	ENSG00000158869	protein_coding	FCER1G	1	ENSP00000289902	19941	9
38	ENSG00000163565	protein_coding	IFI16	1	ENSP00000357113	19940	9
39	ENSG00000090339	protein_coding	ICAM1	19	ENSP00000264832	19939	10
40	ENSG00000100368	protein_coding	CSF2RB	22	ENSP00000384053	19938	10
41	ENSG00000137462	protein_coding	TLR2	4	ENSP00000260010	19937	11
42	ENSG00000167208	protein_coding	SNX20	16	ENSP00000332062	19936	11
43	ENSG00000163840	protein_coding	DTX3L	3	ENSP00000296161	19935	11
44	ENSG00000182866	protein_coding	LCK	1	ENSP00000337825	19934	12
45	ENSG00000125347	protein_coding	IRF1	5	ENSP00000245414	19933	13
46	ENSG00000186517	protein_coding	ARHGAP30	1	ENSP00000356992	19932	13
47	ENSG00000105639	protein_coding	JAK3	19	ENSP00000391676	19931	13
48	ENSG00000159403	protein_coding	C1R	12	ENSP00000438615	19930	13
49	ENSG00000142089	protein_coding	IFITM3	11	ENSP00000382707	19929	13
50	ENSG00000138964	protein_coding	PARVG	22	ENSP00000391583	19928	13
51	ENSG00000179583	protein_coding	CIITA	16	ENSP00000485010	19927	13
52	ENSG00000100055	protein_coding	CYTH4	22	ENSP00000248901	19926	13
53	ENSG00000155926	protein_coding	SLA	8	ENSP00000394049	19925	13
54	ENSG00000162493	protein_coding	PDPN	1	ENSP00000294489	19924	14
55	ENSG00000136286	protein_coding	MYO1G	7	ENSP00000258787	19923	14
56	ENSG00000117091	protein_coding	CD48	1	ENSP00000484431	19922	15
57	ENSG00000145623	protein_coding	OSMR	5	ENSP00000274276	19921	16
58	ENSG00000163739	protein_coding	CXCL1	4	ENSP00000379110	19920	17
59	ENSG00000138496	protein_coding	PARP9	3	ENSP00000353512	19919	17
60	ENSG00000085265	protein_coding	FCN1	9	ENSP00000360871	19918	17
61	ENSG00000158714	protein_coding	SLAMF8	1	ENSP00000289707	19917	17
62	ENSG00000164691	protein_coding	TAGAP	6	ENSP00000356033	19916	17
63	ENSG00000028137	protein_coding	TNFRSF1B	1	ENSP00000365435	19915	18
64	ENSG00000172578	protein_coding	KLHL6	3	ENSP00000341342	19914	18
65	ENSG00000110876	protein_coding	SELPLG	12	ENSP00000228463	19913	18
66	ENSG00000185862	protein_coding	EVI2B	17	ENSP00000333779	19912	18
67	ENSG00000168685	protein_coding	IL7R	5	ENSP00000306157	19911	19
68	ENSG00000155307	protein_coding	SAMSN1	21	ENSP00000285670	19910	19
69	ENSG00000188404	protein_coding	SELL	1	ENSP00000236147	19909	20
70	ENSG00000168461	protein_coding	RAB31	18	ENSP00000461945	19908	20
71	ENSG00000100453	protein_coding	GZMB	14	ENSP00000216341	19907	20
72	ENSG00000140749	protein_coding	IGSF6	16	ENSP00000268389	19906	20
73	ENSG00000130775	protein_coding	THEMIS2	1	ENSP00000363031	19905	20
74	ENSG00000019582	protein_coding	CD74	5	ENSP00000009530	19904	20
75	ENSG00000126353	protein_coding	CCR7	17	ENSP00000246657	19903	21
76	ENSG00000141968	protein_coding	VAV1	19	ENSP00000472929	19902	21
77	ENSG00000141506	protein_coding	PIK3R5	17	ENSP00000392812	19901	22
78	ENSG00000160593	protein_coding	JAML	11	ENSP00000348635	19900	22
79	ENSG00000128815	protein_coding	WDFY4	10	ENSP00000320563	19899	22
80	ENSG00000134516	protein_coding	DOCK2	5	ENSP00000256935	19898	22
81	ENSG00000130429	protein_coding	ARPC1B	7	ENSP00000389631	19897	22
82	ENSG00000128335	protein_coding	APOL2	22	ENSP00000249066	19896	22
83	ENSG00000135899	protein_coding	SP110	2	ENSP00000258381	19895	22
84	ENSG00000101224	protein_coding	CDC25B	20	ENSP00000245960	19894	22
85	ENSG00000128284	protein_coding	APOL3	22	ENSP00000344577	19893	22
86	ENSG00000162645	protein_coding	GBP2	1	ENSP00000359497	19892	22
87	ENSG00000143110	protein_coding	C1orf162	1	ENSP00000344218	19891	22
88	ENSG00000161405	protein_coding	IKZF3	17	ENSP00000344544	19890	22
89	ENSG00000187474	protein_coding	FPR3	19	ENSP00000341821	19889	22
90	ENSG00000147443	protein_coding	DOK2	8	ENSP00000276420	19888	22
91	ENSG00000101336	protein_coding	HCK	20	ENSP00000444986	19887	22
92	ENSG00000102879	protein_coding	CORO1A	16	ENSP00000219150	19886	22
93	ENSG00000163600	protein_coding	ICOS	2	ENSP00000319476	19885	22
94	ENSG00000117090	protein_coding	SLAMF1	1	ENSP00000306190	19884	23
95	ENSG00000132274	protein_coding	TRIM22	11	ENSP00000369299	19883	23
96	ENSG00000111335	protein_coding	OAS2	12	ENSP00000342278	19882	23
97	ENSG00000169245	protein_coding	CXCL10	4	ENSP00000305651	19881	24
98	ENSG00000186818	protein_coding	LILRB4	19	ENSP00000375616	19880	24
99	ENSG00000102524	protein_coding	TNFSF13B	13	ENSP00000365048	19879	24
100	ENSG00000077984	protein_coding	CST7	20	ENSP00000420384	19878	24
101	ENSG00000121281	protein_coding	ADCY7	16	ENSP00000378187	19877	24
102	ENSG00000239713	protein_coding	APOBEC3G	22	ENSP00000385057	19876	24
103	ENSG00000127954	protein_coding	STEAP4	7	ENSP00000369419	19875	24
